data,label
I often have a cold.,"[0, 1]"
They have no friend.,"[0, 1]"
Which goddess did help us?,"[0, 1]"
"They can't do it, can they?","[0, 1]"
John was driving the car.,"[0, 1]"
Bill squeezed himself through the hole.,"[0, 1]"
I funneled the mixture.,"[1, 0]"
People are stupid,"[0, 1]"
I detached that new handle.,"[0, 1]"
I admired him for his courage.,"[0, 1]"
Heather snorted.,"[0, 1]"
George gave Jessica the book.,"[0, 1]"
A bear inhabits the cave.,"[0, 1]"
Little children amuse easily.,"[0, 1]"
I lent Tony the book partway.,"[1, 0]"
"His expectations lower, the higher the stakes are.","[1, 0]"
They drank the pub.,"[1, 0]"
Nora pushed the chair.,"[0, 1]"
My eyes are itching my brother.,"[1, 0]"
the student who everyone likes left.,"[0, 1]"
Jason whispered that the phoenix had escaped,"[0, 1]"
It seems that Agamemnon left.,"[0, 1]"
Bill sent London a package.,"[1, 0]"
Plays and ballets alternate.,"[0, 1]"
The box contained the ball.,"[0, 1]"
"Yes, she.","[1, 0]"
That chisel carves well.,"[0, 1]"
The child became a man.,"[0, 1]"
Rory ate muffins.,"[0, 1]"
She said that in came Aunt Norris.,"[0, 1]"
John wants to win.,"[0, 1]"
The car was being driven.,"[0, 1]"
I put.,"[1, 0]"
John convinced to sleep.,"[1, 0]"
I gave Jack a picture of myself.,"[0, 1]"
I consider him immoral.,"[0, 1]"
I gave her so.,"[1, 0]"
I wonder whom Sandy loves.,"[0, 1]"
I thought she was pregnant,"[0, 1]"
The builders destroyed the warehouse.,"[0, 1]"
That tall woman chased a cat.,"[0, 1]"
Ellen was conferring.,"[0, 1]"
I said that that Jason was jealous annoyed Medea,"[1, 0]"
Mary has more enemies than Bill has friends.,"[0, 1]"
The little boy broke the window.,"[0, 1]"
Robin arrived partway at the station.,"[1, 0]"
Mark's single mindedness terrified me.,"[0, 1]"
I'm glad a linguist likes me.,"[0, 1]"
"They can't do it, can't they?","[1, 0]"
Max gave the car Levi's shove.,"[1, 0]"
I kicked me,"[1, 0]"
The men mined the gold.,"[0, 1]"
The worm wriggled onto the carpet.,"[0, 1]"
Oliver drove me a lunatic.,"[1, 0]"
Most helpful advice is unwanted.,"[0, 1]"
Bill recited his lines poorly.,"[0, 1]"
The tuna had been eaten.,"[0, 1]"
Italy touches France.,"[0, 1]"
They read the new book.,"[0, 1]"
The shooting of the prisoners shocked me.,"[0, 1]"
I have getting into college to consider.,"[0, 1]"
The three sunbathers went swimming.,"[0, 1]"
Not more reliable a man could be found.,"[1, 0]"
Paula hit Deirdre on the back.,"[0, 1]"
John ate.,"[0, 1]"
Aphrodite does free animals,"[0, 1]"
John inquired which book he should read.,"[0, 1]"
Mary managed to go abroad.,"[0, 1]"
Fred feels fine.,"[0, 1]"
The experts attributed Raphael this picture.,"[1, 0]"
The cup broke.,"[0, 1]"
She kicked itself,"[1, 0]"
This needs investigating.,"[0, 1]"
The squirrel is right angry.,"[1, 0]"
The ball rolled over the hill.,"[0, 1]"
We are knowing this theory.,"[1, 0]"
John leftn't the party early.,"[1, 0]"
Cynthia munched peaches.,"[1, 0]"
People go hunting in the Autumn.,"[0, 1]"
I'm glad anybody likes me!,"[0, 1]"
Bill pounded the metal.,"[0, 1]"
John often kisses Mary.,"[0, 1]"
"Sandy must, too.","[0, 1]"
John kept him behind the garage.,"[0, 1]"
John suddenly got the bus off.,"[1, 0]"
My mother baked a cake for me.,"[0, 1]"
I wonder if she will use paints.,"[0, 1]"
They have left.,"[0, 1]"
It is illegal to park here.,"[0, 1]"
I showed Mary several portraits of herself.,"[0, 1]"
Pictures of himself always disturb Milo.,"[0, 1]"
You filed every paper without inspecting.,"[1, 0]"
Mary told Bill that John was elected.,"[0, 1]"
Aphrodite do freed animals.,"[1, 0]"
John placed the flute.,"[1, 0]"
That kind of behavior annoys me.,"[0, 1]"
John refused the offer proudly.,"[0, 1]"
few information was provided.,"[1, 0]"
The tall man kicked the ball.,"[0, 1]"
Anson demonized David almost constantly.,"[0, 1]"
Everyone had been worrying himself stiff.,"[0, 1]"
The paper incorporates the new results.,"[0, 1]"
He looked it up,"[0, 1]"
I pushed the table.,"[0, 1]"
Which boy is tall!,"[1, 0]"
Home was gone by John.,"[1, 0]"
They hit the ball.,"[0, 1]"
The house is been remodeling.,"[1, 0]"
much advice is needed.,"[0, 1]"
Cheryl stood the books from Edna.,"[1, 0]"
I wanted to leave.,"[0, 1]"
Mickey pointed that Gary had left out.,"[1, 0]"
"You should leave, shouldn't you?","[0, 1]"
I read every his book.,"[1, 0]"
I wondered who it was you saw.,"[0, 1]"
I inquired John likes his beer.,"[1, 0]"
John saw Stephan,"[0, 1]"
The puppy was kissed.,"[0, 1]"
John wants Bill to leave.,"[0, 1]"
"Fluffy is sick, which nobody knows.","[0, 1]"
The train reached the station.,"[0, 1]"
The boy ran.,"[0, 1]"
Agamemnon attempted to behave well.,"[0, 1]"
I wonder whether Mary will win.,"[0, 1]"
The change pocketed.,"[1, 0]"
Brenda met.,"[1, 0]"
Tom told somebody that he wasn't sick.,"[0, 1]"
Doug removed the scratches to nowhere.,"[1, 0]"
The scissors is lost,"[1, 0]"
The problem intrigued us bothered me.,"[1, 0]"
Traci gave the whale.,"[1, 0]"
Jake sent the box at Carson.,"[1, 0]"
It is likely Patrick to leave.,"[1, 0]"
John convinced that Bill has slept.,"[1, 0]"
The doctor cured pneumonia from Pat.,"[1, 0]"
Too many salt damages vehicles.,"[1, 0]"
So much of a scholar is here.,"[1, 0]"
The bear sniff,"[1, 0]"
John expect to must leave.,"[1, 0]"
"Mary claimed that eat cabbage, Holly made me.","[1, 0]"
She has problem enough as it is.,"[1, 0]"
Willy is taller than Bill is strong and.,"[1, 0]"
The package carried.,"[1, 0]"
Jason whispered the phoenix had escaped,"[1, 0]"
You will Bob believe.,"[1, 0]"
Tessa sprained.,"[1, 0]"
Gilgamesh failed often biology,"[1, 0]"
John perfectly learned French.,"[1, 0]"
The heat soared the temperature.,"[1, 0]"
"Fluffy is sick, as nobody knows.","[1, 0]"
Jean is likely.,"[1, 0]"
Genie intoned the mirror.,"[1, 0]"
Patrick to leave is likely.,"[1, 0]"
A solution immediately presented.,"[1, 0]"
the box contains little tool.,"[1, 0]"
He does have been eating.,"[1, 0]"
The fence hits easily.,"[1, 0]"
He washed herself.,"[1, 0]"
That cat touches easily.,"[1, 0]"
Lee solved the puzzle how Kim solved it.,"[1, 0]"
John studied carefully Russian.,"[1, 0]"
Louis begged Kate that she leave her job.,"[1, 0]"
Jason killed.,"[1, 0]"
This hammer won't break.,"[1, 0]"
He liked Anson.,"[1, 0]"
Jean moved at the table.,"[1, 0]"
Medea exclaimed if the potion was ready,"[1, 0]"
I lent Tony the book halfway.,"[1, 0]"
The house constructed.,"[1, 0]"
We ate at.,"[1, 0]"
We all thought him was unhappy,"[1, 0]"
Cheryl stood the shelf with books.,"[1, 0]"
He can can go,"[1, 0]"
The city destroyed.,"[1, 0]"
Innocent victims murder easily.,"[1, 0]"
Talkative and a bully entered.,"[1, 0]"
Any lion is rare.,"[1, 0]"
"Mary claimed that would eat cabbage, Holly.","[1, 0]"
She hit myself with a hammer.,"[1, 0]"
Ron captured quickly a phoenix,"[1, 0]"
He analysis her was flawed,"[1, 0]"
The builders destroyed at the warehouse.,"[1, 0]"
Some who read anything passed.,"[1, 0]"
They said him to be rich.,"[1, 0]"
It tried to bother me that Chris lied.,"[1, 0]"
Donny is likely that left.,"[1, 0]"
The politician perjured his aide.,"[1, 0]"
The man chased Fido returned.,"[1, 0]"
The child and her mother clung.,"[1, 0]"
"The more you eat, you want the more.","[1, 0]"
She tried to may leave,"[1, 0]"
John write books.,"[1, 0]"
Linda winked his eye.,"[1, 0]"
Mary runs often the marathon.,"[1, 0]"
We yelled ourselves.,"[1, 0]"
It said that Kim was happy.,"[1, 0]"
I blew up it.,"[1, 0]"
I want Bradley that left.,"[1, 0]"
He figured out Ann.,"[1, 0]"
the room contains few furniture.,"[1, 0]"
The assignment completed.,"[1, 0]"
The day snowed,"[1, 0]"
Carmen obtained Mary a spare part.,"[1, 0]"
We talked about that he was sick for days.,"[1, 0]"
The cup filled water.,"[1, 0]"
The man a ball kicked.,"[1, 0]"
Mary judged there.,"[1, 0]"
I shaved myself.,"[1, 0]"
John to fix the computer.,"[1, 0]"
This fact is key.,"[1, 0]"
Digitize is my happiest memory,"[1, 0]"
the easily student finished his homework.,"[1, 0]"
It was claimed that by everyone the poison was neutralised,"[1, 0]"
The book brought to the meeting.,"[1, 0]"
The best writer was considered Andrew.,"[1, 0]"
Joe is taller than I think Mary.,"[1, 0]"
A proof that God exist does.,"[1, 0]"
John to call would be unlikely.,"[1, 0]"
Mary appreciates John and himself.,"[1, 0]"
