data,label
Chris dreads the bucket.,"[0, 1]"
The rules require that the executives be polite.,"[0, 1]"
We think that Leslie likes us.,"[0, 1]"
Nobody likes us.,"[0, 1]"
That banana is eating the monkey.,"[0, 1]"
John ate his noodle quietly.,"[0, 1]"
A smith hammered the metal.,"[0, 1]"
That he is here is clear.,"[0, 1]"
These dogs barked.,"[0, 1]"
It annoys me that Fido barks.,"[0, 1]"
The storm arrived after the picnic.,"[0, 1]"
How sane is Peter?,"[0, 1]"
That movie always shocks people.,"[0, 1]"
Bill didn't allege that Roger had eaten anything.,"[0, 1]"
Jean persuaded Robert.,"[0, 1]"
John gave Bill the dog dead.,"[0, 1]"
The paper was written up by John.,"[0, 1]"
John is likely to leave.,"[0, 1]"
Susan frightens her.,"[0, 1]"
The visitor rang the bell.,"[0, 1]"
We made them be rude.,"[0, 1]"
The jury believed the defendant lied.,"[0, 1]"
John owns the book.,"[0, 1]"
