data1,data2,label
"""What is the meaning of """"folarin""""?""","""What is the meaning of """"what's up""""?""","[1, 0]"
VIT through management quota?,2016 must have Android apps?,"[1, 0]"
What kind of pepper is this?,What kind of peppers are there?,"[1, 0]"
"""What does the name """"Sheenam"""" mean?""","""What does the name """"Maysar"""" mean?""","[1, 0]"
"""What song is used in """"They""""?""","""What song is used in """"Enough""""?""","[1, 0]"
How fast can humans swim?,How fast can a human run?,"[1, 0]"
"""What does """"equilibrium"""" mean in science?""","""What does """"equilibrium"""" mean?""","[1, 0]"
How many times has flight evolved in non-vertebrates?,How many times has flight evolved in vertebrates?,"[1, 0]"
Which country invented the sandwich?,Which country invented the pancake?,"[1, 0]"
London show that you can't miss ?,Most popular adopt a cat sites ?,"[1, 0]"
"""What are some sentence examples using """"insinuate""""?""","""What are some sentence examples using """"incite""""?""","[1, 0]"
How much rupees are there in a USD?,How much is 100$ in rupees?,"[1, 0]"
"""What does """"Que chafa!"""" mean in Spanish?""","""What does """"mahina"""" mean in Spanish?""","[1, 0]"
What is 2.5 factorial?,What is 2.3 factorial?,"[1, 0]"
"""What does """"<3"""" mean?""","""What's the meaning of """"精神赵家人""""?""","[1, 0]"
How many Twitter users tweet?,How many Twitter users are there?,"[1, 0]"
Which actress pierced her navel?,Which actress kissed in navel?,"[1, 0]"
How good is PayUMoney?,How good is PAYTM?,"[1, 0]"
How long does a marijuana high last?,How long will my weed-brownie high last?,"[1, 0]"
Meaning of It?,"""What is the meaning of """"beagleize it""""?""","[1, 0]"
"""What does """"stupid is as stupid does"""" mean?""","""What does """"ROTFL"""" mean?""","[1, 0]"
"""How do you pronounce """"Dohnányi""""?""","""How do you pronounce """"world""""?""","[1, 0]"
"""What does """"See to it that"""" mean?""","""What does """"As you can see"""" mean?""","[1, 0]"
What kind of stone is this?,What stone is this?,"[1, 0]"
How many hours does Bill Gates sleep?,How many hours shoul one sleep continuously?,"[1, 0]"
How much money does typeracer.com make?,How much money does women2.com make?,"[1, 0]"
"""Is """"ain't” a word?""","""Is """"amn't"""" a word?""","[1, 0]"
"""How do you say """"thank you"""" in Korean?""","""How do you say """"what"""" in Korean?""","[1, 0]"
Preparations for MS Computational Physics?,Free it ebooks site?,"[1, 0]"
"""How do you say """"wave"""" in Latin?""","""How do you say """"it"""" in Latin?""","[1, 0]"
What type of dog is this specifically?,What type of dog is this?,"[1, 0]"
What percentage of Indians are vegetarian?,What percentage of Quorans are Indians?,"[1, 0]"
What is [math]\lim_{x\to 0} \frac{\sin^2 x}{x}[/math]?,What is [math]\displaystyle\lim_{x\to 0}\frac{x-\tan x }{x-\sin x }[/math]?,"[1, 0]"
What kind of dog is this?,What kind of dogs are real?,"[1, 0]"
"""How do you pronounce """"phone """" correctly?""","""How do you pronounce """"interesting"""" correctly?""","[1, 0]"
"""What is the meaning of """"beagleize it""""?""","""What it is the meaning of """"開了""""?""","[1, 0]"
What countries celebrate Christmas?,What countries don't celebrate Christmas?,"[1, 0]"
What kind of friendship is this?,What kinds of friendship are there?,"[1, 0]"
Which species of snake is this?,Which snake is this in India?,"[1, 0]"
"""Why does this sentence use """"hit""""?""","""Why does this sentence use """"it""""?""","[1, 0]"
"""Is """"why you went there?"""" proper grammar?""","""Is """"I've a [object]"""" proper grammar?""","[1, 0]"
What dog breed is this?,What dog breeds hunt?,"[1, 0]"
New Start ups in Bangalore?,Beautiful places in the world?,"[1, 0]"
"""How do you say """"tree"""" in Hebrew?""","""How do you say """"and"""" in Hebrew?""","[1, 0]"
Car tyre pressure?,Is gnu gives full vesrsion of gcc?,"[1, 0]"
How many chances does God give me?,How many chances does God give you?,"[1, 0]"
Determinants of aspiration?,The Zohar written 2000 years ago?,"[1, 0]"
What Deadpool's catchphrase is?,Ranveer Singh Snapchat id?,"[1, 0]"
How often should a couple have sex?,How often should a person have sex?,"[1, 0]"
"""What is """"Occupy Wall Street""""?""",Is Occupy Wall Street for real?,"[1, 0]"
How important is sex to a teenager?,How important is sex to you?,"[1, 0]"
Which breed is this of dogs?,Which breed of dog is this?,"[1, 0]"
What manga is this?,"""What are """"manga books""""?""","[1, 0]"
Which hairstyle would suit me?,What hairstyle suits me?,"[1, 0]"
How old is the earth?,How old is the world?,"[1, 0]"
The integration of x^3 .e^(x^2) with respect x?,The integration of e^√x with respect x?,"[1, 0]"
"""What are some sentence examples using """"allusion""""?""","""What are some sentence examples using """"compel""""?""","[1, 0]"
Which breed is this cat?,Which breed of cat is this?,"[1, 0]"
What anime is it?,What animal is this?,"[1, 0]"
What companies went bankrupt in 2011?,What companies went bankrupt in 2012?,"[1, 0]"
What colour is this?,What colour is nothing?,"[1, 0]"
Childhood sexual abuse create bpd female?,Study in normway indian?,"[1, 0]"
"""What does """"Гиркинюгенд"""" mean?""","""What does """"磨杵成针"""" mean?""","[1, 0]"
What important events happened in 2008?,What important things happened in 1998?,"[1, 0]"
"""What is the song """"Crimson and Clover"""" about?""","""What is Bastille's song """"Pompeii"""" about?""","[1, 0]"
How many people use facebook?,How many people use Facebook in Italy?,"[1, 0]"
"""What is another word for """"would""""?""","""What's another word for """"effectiveness""""?""","[1, 0]"
What brand of socks is this?,What brand of socks are these?,"[1, 0]"
How big is a whale?,How big is a dolphin?,"[1, 0]"
Which hair colour is this?,What hair colour is this?,"[1, 0]"
How many dimensions are there in the world?,How many dimensions are possible?,"[1, 0]"
Ringworm infection remedy?,Thoughts are living things?,"[1, 0]"
Used car in Houston?,Girls WhatsApp group?,"[1, 0]"
What colour is this?,What colour is this dress?,"[1, 0]"
What colors go well with turquoise?,What colors go well with orange?,"[1, 0]"
Procedure for website scratch?,India pal war?,"[1, 0]"
Science in Hindi?,Centre of mass of uniform disc?,"[1, 0]"
"""How do I say """"Assist"""" in Hebrew?""","""How do you say """"and"""" in Hebrew?""","[1, 0]"
How long do men have sex normally?,How long do you have sex?,"[1, 0]"
Free party halls in Chennai triplicane?,Different types of thrusters?,"[1, 0]"
8:1 Mux has select lines?,Rates on disposits?,"[1, 0]"
How often should you masturbate?,How often do you masturbate?,"[1, 0]"
"""What are some antonyms for """"mistake""""?""","""What's the antonym of """"not""""?""","[1, 0]"
"""What does the name """"Himanjali"""" mean?""","""What does the name """"Sheenam"""" mean?""","[1, 0]"
How old is too old?,How old is not too old?,"[1, 0]"
How many Drug Lords are there in China?,How many Drug Lords are there in Russia?,"[1, 0]"
Rbi grade b exams material?,Volte call from lphone 5s?,"[1, 0]"
Which dishes are famous in jaipur?,Which dishes are famous in jodhpur?,"[1, 0]"
"""What are some sentence examples using """"punitive""""?""","""What are some sentence examples using """"incite""""?""","[1, 0]"
Which sites are banned in india?,Which websites are banned in India?,"[0, 1]"
What startups are hiring in Pune?,Which startups are hiring in Pune?,"[0, 1]"
How many times should I meditate?,How many times a day should you meditate?,"[0, 1]"
What is peak value of 220V a.c.?,What is peak value of 220V a.c?,"[0, 1]"
What countries support ISIS?,Which countries are supporting ISIS?,"[0, 1]"
"""Does Quora means"""" question or answer""""?""",What Quora mean?,"[0, 1]"
What STD'S cause paralysis?,What stds cause paralysis?,"[0, 1]"
How often do you buy others gifts?,How often do you buy gifts?,"[0, 1]"
How corrupt is India?,How rampant is corruption in India?,"[0, 1]"
How many planets are there?,How many planets are there in the universe?,"[0, 1]"
Hh ,HH,"[0, 1]"
How rich is Trump?,How wealthy is Donald Trump?,"[0, 1]"
Which startups are hiring in Hyderabad?,Which startup is hiring in Hyderabad?,"[0, 1]"
Benefits of sociology of education?,Importance of sociology of education?,"[0, 1]"
How old is this boy?,How old is this youngboy?,"[0, 1]"
Which countries hate each other?,What countries hate each other?,"[0, 1]"
Cotton production in sudan?,Cotton in sudan?,"[0, 1]"
Volumetric efficiency of Pulsar 150?,Volumetric efficiency of Pulsar 150 bike?,"[0, 1]"
How often do young women masturbate?,How often girls masturbate?,"[0, 1]"
How comfortable are you with failure?,How comfortable am I with failure?,"[0, 1]"
"""How exactly does """"Amazon Go"""" work?""","""How does Amazon's new """"Amazon Go"""" work?""","[0, 1]"
Is sex is required in relationship?,How important is sex in a relationship?,"[0, 1]"
Which celebrities are pro Trump?,Which celebrities support Trump?,"[0, 1]"
How realistic is Person of Interest?,How real is Person of Interest?,"[0, 1]"
Pp0pp PPP pppppppppppppppppppppppppppppppppppppppppppppppppppp pop p?,Pp0pp PPP pppppppppppppppppppppppppppppppppppppppppppppppppppp?,"[0, 1]"
"""Who invented concept of  """"white guilt""""?""","""What exactly is """"White guilt""""?""","[0, 1]"
What religion is correct?,Which religion is correct?,"[0, 1]"
How old are y'all? I just turned 45.,"How old are all of you, just wondering?","[0, 1]"
How strong is NATO?,How powerful is NATO?,"[0, 1]"
Importance of collection methods in biostatics.?,Importance of collection methods in biostatics?,"[0, 1]"
How many countries are there?,How many countries are there in total?,"[0, 1]"
"Trump has won, what happens now?",Donald trump won . What now?,"[0, 1]"
"""Why is """"Sazae San"""" anime underrated in America?""","""Why is """"Sazae-San"""" anime underrated in America?""","[0, 1]"
How fast are use submarines?,How fast is a nuclear submarine?,"[0, 1]"
How long should one meditate?,How long one can meditate?,"[0, 1]"
How far is Nasik (Nashik) from Mumbai?,How far is Nashik (Nasik) from Mumbai?,"[0, 1]"
How widespread is prostitution in India?,How common is prostitution in India?,"[0, 1]"
How much is hootsuite?,How much funding has HootSuite raised?,"[0, 1]"
How long can sperm survive?,How long does sperm live?,"[0, 1]"
Hillary nothingburger Clinton?,Hillary Clinton nothingburger?,"[0, 1]"
"""What do you mean """"tooling""""?""","""What's the meaning of """"tooling""""?""","[0, 1]"
Which is best laptop below 40k?,Which is best laptop under 40k?,"[0, 1]"
How long is boston marathon?,How long is the boston marathon?,"[0, 1]"
How good is DTU?,How good is Delhi Technological University?,"[0, 1]"
How important is sex in relationship?,Is sex is required in relationship?,"[0, 1]"
How many Class IP Address?,How many classes are there in IP addressing?,"[0, 1]"
What business made you rich?,What business made you millionaire?,"[0, 1]"
How many dimensions are there?,How many dimensions are there in our universe?,"[0, 1]"
How far can our eyes see?,How far our eyes can see?,"[0, 1]"
How long will my jaundice last?,How long does jaundice last?,"[0, 1]"
"""Does the word """"Quora"""" mean something?""","""What does """"Quora"""" mean?""","[0, 1]"
What songs make you cry?,Which songs always makes you cry?,"[0, 1]"
How often do woman masturbate?,How often girls masturbate?,"[0, 1]"
How many galaxies are there?,How many galaxies are there in the universe?,"[0, 1]"
How old is the Hindu religion?,How old is Hinduism?,"[0, 1]"
How close are we to time travel?,Time Travel Is It Possible?,"[0, 1]"
Which songs keep you always motivated?,Which songs may keep you motivated always?,"[0, 1]"
Which fruit contains fat?,What fruits contain fat?,"[0, 1]"
Which body of Congress approves nominations?,With body of congress approves nominations?,"[0, 1]"
How often do most people have sex?,How often do people have sex?,"[0, 1]"
How many dance forms are there in India?,How many dance form are there in India?,"[0, 1]"
Which element form cation?,What kind of element form cations?,"[0, 1]"
How old are you now?,Survey Question: How old are you?,"[0, 1]"
How much sleep is required?,How much deep sleep one need?,"[0, 1]"
lol ?,lol,"[0, 1]"
What Quora means?,"""Does Quora means"""" question or answer""""?""","[0, 1]"
How many particles have we discovered?,How many particles were discovered yet?,"[0, 1]"
How many types of nouns are there?,Types of Nouns?,"[0, 1]"
"""How historically accurate is the movie """"300""""?""",How historically accurate is the 300 movie?,"[0, 1]"
Which movie has this scene?,What movie has this scene?,"[0, 1]"
How many years old is hinduism?,How old is Hinduism?,"[0, 1]"
How often is it good to masturbate?,How often should one masturbate?,"[0, 1]"
How strong is the Hulk?,How strong is the Incredible Hulk?,"[0, 1]"
"""What does the phrase """"per se"""" mean?""","""What does """"per se"""" mean?""","[0, 1]"
Nagpur marriage hall?,Marriage hall in Nagpur?,"[0, 1]"
How many cities in china?,How many cities are there in China?,"[0, 1]"
Most nuclear power holding nations?,Most nuclear power nations?,"[0, 1]"
How many religions are there in the world?,How many religions are there in this world?,"[0, 1]"
Flirting is healthy?,Flirting is good or not?,"[0, 1]"
Is knowledge obtained or recollected?,Is knowledge obtained or recollected? Why?,"[0, 1]"
Which condom is best?,Which condom is the best?,"[0, 1]"
Life: Is closure overrated?,Closures: aren't they overrated?,"[0, 1]"
What element was discovered first?,Which element is discovered first?,"[0, 1]"
"""Why are """"reactions"""" subjective terms?""","""Why are """"reactions"""" subject terms?""","[0, 1]"
How far is the Sun?,How far is earth from the sun?,"[0, 1]"
Egg IsVeg or non veg?,Eggs are veg or non veg?,"[0, 1]"
India how many states?,How many states are there in India?,"[0, 1]"
How high can a mosquito fly?,How high a mosquito can fly?,"[0, 1]"
What companies use SAP?,What companies use SAP ERP?,"[0, 1]"
How often do you drink coffee (-based) drinks?,How often do you drink coffee?,"[0, 1]"
"Nobody answers my questions on Quora, why?","No one answers me on Quora, why?","[0, 1]"
How many cows are there in the US?,How many cows are there in America?,"[0, 1]"
"""Why do dogs get """"stuck"""" together after mating?""","""Why do dogs get """"stuck"""" together while mating?""","[0, 1]"
How long do ants live?,How long does an ant typically live?,"[0, 1]"
"""What is """"white guilt""""?""","""Who invented concept of  """"white guilt""""?""","[0, 1]"
Which app changed your life?,What app changed your life?,"[0, 1]"
How far is the Sun from Earth?,How far is earth from the sun?,"[0, 1]"
What Quora means?,What Quora mean?,"[0, 1]"
How old is Roger Federer?,How old is Roger feder?,"[0, 1]"
Small business ideas?,Ideas for a small buisness?,"[0, 1]"
How old is Jesus?,How old is Jesus Christ?,"[0, 1]"
Wwe is real fight?,How real is professional wrestling?,"[0, 1]"
Which computers are using Linux?,What systems use linux?,"[0, 1]"
How often should I wash my hair?,How often should you wash your hair?,"[0, 1]"
How often do young women masturbate?,How frequently do women masturbate?,"[0, 1]"
How many genes are there on 1 chromosome?,How many genes are there in one chromosome?,"[0, 1]"
How many dimensions are there in space?,How many dimensions is space?,"[0, 1]"
What color is 5?,"What color, is the number 5?","[0, 1]"
How fast can helicopters travel?,How fast can a helicopter fly?,"[0, 1]"
How deep is vagina?,"How deep are women’s vaginas, when unstretched?","[0, 1]"
How important our education?,How important is education?,"[0, 1]"
"""Who are """"Quora Users""""?""","""What does followed by """"Quora User"""" mean?""","[0, 1]"
Fees of AMCAT?,Fee of AMCAT?,"[0, 1]"
How often do young women masturbate?,How often do woman masturbate?,"[0, 1]"
Why we use precision rectifier? Request,Why we use precision rectifier?,"[0, 1]"
How many countries are there?,How many countries are there in the world?,"[0, 1]"
How far is the Sun from Earth?,How far is the Sun?,"[0, 1]"
"""What is considered having """"asthma""""?""","""What is considered """"having asthma""""?""","[0, 1]"
How often do supermoons appear?,How often do supermoons come?,"[0, 1]"
Which country is the friendliest?,Which nationalities are the friendliest?,"[0, 1]"
What companies and startups use GitHub?,What startups have used GitHub?,"[0, 1]"
How long did the Roman Empire last?,How long was the roman empire?,"[0, 1]"
How good is 6.5 band in ielts?,How good is 6.5 ielts band?,"[0, 1]"
Examples of sole proprietorship? The,Examples of sole proprietorship?,"[0, 1]"
Different option in gwt way of tally?,Different option in gatwayof tally?,"[0, 1]"
Which MBA specialization is better?,Which mba specialization is best?,"[0, 1]"
How much is unemployment in Texas?,How much unemployment is there in Texas?,"[0, 1]"
What Quora mean?,"""What does """"Quora """" mean?""","[0, 1]"
How fast are greyhounds?,How fast is a greyhound?,"[0, 1]"
What animals knowingly commit suicide?,What animals commit suicide?,"[0, 1]"
What startups are hiring in bengaluru?,What startups in bengaluru are hiring?,"[0, 1]"
How old is Donald Trump?,How old is trump?,"[0, 1]"
How many years lord Krishna lived?,How many years Krishna lived?,"[0, 1]"
Which country has more atheist?,Which country has most atheists?,"[0, 1]"
What kind of flies are there?,What kinds of flies are there?,"[0, 1]"
Are psychopaths born or made?,Are primary psychopaths born or made?,"[0, 1]"
For how long can an infatuation last?,How long does infatuation last?,"[0, 1]"
How big is the average penis?,How long is a normal penis?,"[0, 1]"
Is the intelligence acquired or inherited?,How much intelligence is inherited?,"[0, 1]"
"""What does """"TL; DR"""" mean?""","""What do they mean by """"Tl; Dr""""?""","[0, 1]"
