data,label
no clue ,"[1, 0]"
live-action cartoon ,"[1, 0]"
a documentary and more propaganda ,"[1, 0]"
"rushed , slapdash , ","[1, 0]"
", partisans and sabotage ","[1, 0]"
anguished ,"[1, 0]"
blacked out ,"[1, 0]"
obvious copy ,"[1, 0]"
waters ,"[1, 0]"
a child 's pain ,"[1, 0]"
an incomprehensible ,"[1, 0]"
than bad ,"[1, 0]"
few points ,"[1, 0]"
sequences boring ,"[1, 0]"
assert ,"[1, 0]"
the action clichés just pile up . ,"[1, 0]"
problematic quest ,"[1, 0]"
an eviction notice ,"[1, 0]"
"vulgar , sexist ","[1, 0]"
` juvenile delinquent ' paperbacks ,"[1, 0]"
fetid underbelly ,"[1, 0]"
", and totally disorientated ","[1, 0]"
jumbled ,"[1, 0]"
its standard formula ,"[1, 0]"
wears ,"[1, 0]"
"episodic choppiness , ","[1, 0]"
so horrendously confusing ,"[1, 0]"
mopes ,"[1, 0]"
an apartheid drama ,"[1, 0]"
joyless ,"[1, 0]"
the film 's predictable denouement ,"[1, 0]"
mishandled ,"[1, 0]"
", but slow ","[1, 0]"
exploitation piece ,"[1, 0]"
bad movie ,"[1, 0]"
odoriferous thing ,"[1, 0]"
fat ,"[1, 0]"
both ugly and mindless ,"[1, 0]"
sour attempt ,"[1, 0]"
it 's so lackluster ,"[1, 0]"
suffocating ,"[1, 0]"
snide ,"[1, 0]"
the great pity ,"[1, 0]"
stiletto-stomps the life out ,"[1, 0]"
the smug self-satisfaction ,"[1, 0]"
you snore ,"[1, 0]"
"appalling , shamelessly manipulative and contrived , and ","[1, 0]"
by a noticeable lack of pace ,"[1, 0]"
bad idea ,"[1, 0]"
crude ,"[1, 0]"
warned ,"[1, 0]"
bloated ,"[1, 0]"
unlikable characters and a self-conscious sense ,"[1, 0]"
the hell ,"[1, 0]"
bug-eyed mugging ,"[1, 0]"
", overmanipulative hollywood practices ","[1, 0]"
manipulative whitewash ,"[1, 0]"
depraved ,"[1, 0]"
recycled ,"[1, 0]"
sex gags and prom dates ,"[1, 0]"
accident ,"[1, 0]"
tired stereotypes ,"[1, 0]"
bombastic self-glorification ,"[1, 0]"
remarkably faithful one ,"[0, 1]"
"a wonderful , sobering , heart-felt drama ","[0, 1]"
endorses ,"[0, 1]"
sex ,"[0, 1]"
"fact , even better ","[0, 1]"
convincing portrayal ,"[0, 1]"
naturalistic ,"[0, 1]"
millions of eager fans ,"[0, 1]"
aplenty ,"[0, 1]"
the artistry of making a film ,"[0, 1]"
checkout ,"[0, 1]"
one regards reign of fire with awe . ,"[0, 1]"
i recommend it for its originality alone ,"[0, 1]"
the true impact of the day ,"[0, 1]"
"evans ) had , lost , and got back ","[0, 1]"
strong and confident work ,"[0, 1]"
the most fluent of actors ,"[0, 1]"
well-put-together ,"[0, 1]"
cool visual backmasking ) ,"[0, 1]"
organic ,"[0, 1]"
gorgeousness . ,"[0, 1]"
organized ,"[0, 1]"
a consistent embracing humanity ,"[0, 1]"
cinematography and exhilarating point-of-view shots and ,"[0, 1]"
the easy emotional buttons ,"[0, 1]"
of hopeful ,"[0, 1]"
thanks largely ,"[0, 1]"
impressive images ,"[0, 1]"
feel-good family comedy ,"[0, 1]"
the edge of their seats ,"[0, 1]"
altered ,"[0, 1]"
good simmer ,"[0, 1]"
things interesting ,"[0, 1]"
its exquisite acting ,"[0, 1]"
romance ,"[0, 1]"
any less entertaining ,"[0, 1]"
interminably ,"[0, 1]"
the atmosphere ,"[0, 1]"
she 's pretty ,"[0, 1]"
heavyweight film ,"[0, 1]"
soulful nuances ,"[0, 1]"
conservative christian parents ,"[0, 1]"
a stirring road movie . ,"[0, 1]"
terrific look ,"[0, 1]"
a surprisingly funny movie . ,"[0, 1]"
the multi-layers of its characters ,"[0, 1]"
such a mechanical endeavor ( ,"[0, 1]"
real filmmaker 's ,"[0, 1]"
repeating ,"[0, 1]"
these characters love each other ,"[0, 1]"
"my greatest pictures , drunken master ","[0, 1]"
"charm , generosity and diplomacy ","[0, 1]"
` stoked ,"[0, 1]"
satisfying complete ,"[0, 1]"
charisma and ability ,"[0, 1]"
very distinctive sensibility ,"[0, 1]"
hilarity . ,"[0, 1]"
adorably ditsy but heartfelt ,"[0, 1]"
unbreakable ,"[0, 1]"
love and ,"[0, 1]"
great combination act ,"[0, 1]"
imax sound system ,"[0, 1]"
a remarkably alluring film ,"[0, 1]"
hilarious adventure ,"[0, 1]"
the line between sappy and sanguine ,"[0, 1]"
barely makes it any less entertaining ,"[0, 1]"
"of the best , most ","[0, 1]"
scenic ,"[0, 1]"
"emotionally accessible , almost mystical work ","[0, 1]"
of clean and sober ,"[0, 1]"
most alive ,"[0, 1]"
plenty to enjoy ,"[0, 1]"
a smart and funny ,"[0, 1]"
"hopeful and , perhaps paradoxically , illuminated ","[0, 1]"
comedy and melodrama ,"[0, 1]"
much more ordinary ,"[0, 1]"
exercise in style and mystification . ,"[0, 1]"
us share their enthusiasm ,"[0, 1]"
the hardy spirit ,"[0, 1]"
fontaine masterfully ,"[0, 1]"
empathy ,"[0, 1]"
wonder of wonders -- ,"[0, 1]"
wonderful thing ,"[0, 1]"
a casual intelligence ,"[0, 1]"
favorite ,"[0, 1]"
clever credits roll ,"[0, 1]"
this deeply moving french drama ,"[0, 1]"
one of cinema 's directorial giants ,"[0, 1]"
a poetic ,"[0, 1]"
the metaphors are provocative ,"[0, 1]"
a lovely film ... ,"[0, 1]"
"some good , organic character work ","[0, 1]"
visual coming right ,"[0, 1]"
sign ,"[0, 1]"
an intensely lived time ,"[0, 1]"
sumptuous work ,"[0, 1]"
"its leaden acting , dull exposition ","[0, 1]"
eloquence ,"[0, 1]"
the film 's winning tone ,"[0, 1]"
so compellingly ,"[0, 1]"
certain sexiness ,"[0, 1]"
intriguing ,"[0, 1]"
that is really funny ,"[0, 1]"
neat ,"[0, 1]"
fluttering ,"[0, 1]"
sparkling newcomer ,"[0, 1]"
ocean visuals ,"[0, 1]"
a compelling story to tell ,"[0, 1]"
best special effects ,"[0, 1]"
refined piece ,"[0, 1]"
exceptional lead performances ,"[0, 1]"
kids-and-family-oriented ,"[0, 1]"
been hoping for ,"[0, 1]"
female empowerment ,"[0, 1]"
"better characters , some genuine quirkiness and ","[0, 1]"
killer website movie ,"[0, 1]"
any awards ,"[0, 1]"
pleasing verisimilitude ,"[0, 1]"
"combines two surefire , beloved genres ","[0, 1]"
"( a ) thoughtful , visually graceful ","[0, 1]"
"a mostly magnificent directorial career , ","[0, 1]"
brow ,"[0, 1]"
", non-exploitive approach ","[0, 1]"
peak ,"[0, 1]"
an entertainment ,"[0, 1]"
"for a winning , heartwarming yarn ","[0, 1]"
"lush , all-enveloping movie experience ","[0, 1]"
that rare movie ,"[0, 1]"
often-hilarious ,"[0, 1]"
disney 's great past ,"[0, 1]"
so much fun ,"[0, 1]"
"tense , terrific , sweaty-palmed fun . ","[0, 1]"
this seductive tease of a thriller ,"[0, 1]"
