data,label
fat ,"[1, 0]"
both ugly and mindless ,"[1, 0]"
sour attempt ,"[1, 0]"
it 's so lackluster ,"[1, 0]"
suffocating ,"[1, 0]"
snide ,"[1, 0]"
the great pity ,"[1, 0]"
stiletto-stomps the life out ,"[1, 0]"
the smug self-satisfaction ,"[1, 0]"
you snore ,"[1, 0]"
"appalling , shamelessly manipulative and contrived , and ","[1, 0]"
by a noticeable lack of pace ,"[1, 0]"
bad idea ,"[1, 0]"
crude ,"[1, 0]"
warned ,"[1, 0]"
bloated ,"[1, 0]"
unlikable characters and a self-conscious sense ,"[1, 0]"
the hell ,"[1, 0]"
bug-eyed mugging ,"[1, 0]"
", overmanipulative hollywood practices ","[1, 0]"
manipulative whitewash ,"[1, 0]"
depraved ,"[1, 0]"
recycled ,"[1, 0]"
sex gags and prom dates ,"[1, 0]"
accident ,"[1, 0]"
tired stereotypes ,"[1, 0]"
bombastic self-glorification ,"[1, 0]"
that already-shallow ,"[1, 0]"
no surprises ,"[1, 0]"
grotesque ,"[1, 0]"
odd and pixilated ,"[1, 0]"
anti- ,"[1, 0]"
similar obsessions can dominate a family ,"[1, 0]"
dreary tale ,"[1, 0]"
bug-eyed mugging and gay-niche condescension ,"[1, 0]"
ridiculous action sequences ,"[1, 0]"
in too many conflicts ,"[1, 0]"
trite ,"[1, 0]"
downhill ,"[1, 0]"
dead dog ,"[1, 0]"
little emotional resonance ,"[1, 0]"
its tragic waste of life ,"[1, 0]"
"heavy-handed , manipulative ","[1, 0]"
five hours long ,"[1, 0]"
more whiny downer than corruscating commentary . ,"[1, 0]"
nothing is sacred in this gut-buster . ,"[1, 0]"
a wildly inconsistent emotional experience . ,"[1, 0]"
or emptying rat traps . ,"[1, 0]"
not exactly the bees knees ,"[1, 0]"
( a ) shapeless blob of desperate entertainment . ,"[1, 0]"
holden caulfield did it better . ,"[1, 0]"
it 's just filler . ,"[1, 0]"
one long string of cliches . ,"[1, 0]"
too much of the humor falls flat . ,"[1, 0]"
at once half-baked and overheated . ,"[1, 0]"
a sometimes tedious film . ,"[1, 0]"
"forced , familiar and thoroughly condescending . ","[1, 0]"
nervous breakdowns are not entertaining . ,"[1, 0]"
"dull , lifeless , and amateurishly assembled . ","[1, 0]"
part low rent godfather . ,"[1, 0]"
remarkably faithful one ,"[0, 1]"
"a wonderful , sobering , heart-felt drama ","[0, 1]"
endorses ,"[0, 1]"
sex ,"[0, 1]"
"fact , even better ","[0, 1]"
convincing portrayal ,"[0, 1]"
naturalistic ,"[0, 1]"
millions of eager fans ,"[0, 1]"
aplenty ,"[0, 1]"
the artistry of making a film ,"[0, 1]"
checkout ,"[0, 1]"
one regards reign of fire with awe . ,"[0, 1]"
i recommend it for its originality alone ,"[0, 1]"
the true impact of the day ,"[0, 1]"
"evans ) had , lost , and got back ","[0, 1]"
strong and confident work ,"[0, 1]"
the most fluent of actors ,"[0, 1]"
well-put-together ,"[0, 1]"
cool visual backmasking ) ,"[0, 1]"
organic ,"[0, 1]"
gorgeousness . ,"[0, 1]"
organized ,"[0, 1]"
a consistent embracing humanity ,"[0, 1]"
cinematography and exhilarating point-of-view shots and ,"[0, 1]"
the easy emotional buttons ,"[0, 1]"
of hopeful ,"[0, 1]"
thanks largely ,"[0, 1]"
impressive images ,"[0, 1]"
feel-good family comedy ,"[0, 1]"
the edge of their seats ,"[0, 1]"
altered ,"[0, 1]"
good simmer ,"[0, 1]"
things interesting ,"[0, 1]"
its exquisite acting ,"[0, 1]"
scenic ,"[0, 1]"
"emotionally accessible , almost mystical work ","[0, 1]"
of clean and sober ,"[0, 1]"
most alive ,"[0, 1]"
plenty to enjoy ,"[0, 1]"
a smart and funny ,"[0, 1]"
"hopeful and , perhaps paradoxically , illuminated ","[0, 1]"
comedy and melodrama ,"[0, 1]"
much more ordinary ,"[0, 1]"
exercise in style and mystification . ,"[0, 1]"
us share their enthusiasm ,"[0, 1]"
the hardy spirit ,"[0, 1]"
fontaine masterfully ,"[0, 1]"
empathy ,"[0, 1]"
wonder of wonders -- ,"[0, 1]"
wonderful thing ,"[0, 1]"
a casual intelligence ,"[0, 1]"
favorite ,"[0, 1]"
clever credits roll ,"[0, 1]"
this deeply moving french drama ,"[0, 1]"
one of cinema 's directorial giants ,"[0, 1]"
a poetic ,"[0, 1]"
the metaphors are provocative ,"[0, 1]"
a lovely film ... ,"[0, 1]"
"some good , organic character work ","[0, 1]"
visual coming right ,"[0, 1]"
sign ,"[0, 1]"
an intensely lived time ,"[0, 1]"
sumptuous work ,"[0, 1]"
"its leaden acting , dull exposition ","[0, 1]"
eloquence ,"[0, 1]"
the film 's winning tone ,"[0, 1]"
so compellingly ,"[0, 1]"
certain sexiness ,"[0, 1]"
intriguing ,"[0, 1]"
that is really funny ,"[0, 1]"
neat ,"[0, 1]"
fluttering ,"[0, 1]"
sparkling newcomer ,"[0, 1]"
ocean visuals ,"[0, 1]"
a compelling story to tell ,"[0, 1]"
best special effects ,"[0, 1]"
refined piece ,"[0, 1]"
exceptional lead performances ,"[0, 1]"
kids-and-family-oriented ,"[0, 1]"
been hoping for ,"[0, 1]"
female empowerment ,"[0, 1]"
"better characters , some genuine quirkiness and ","[0, 1]"
killer website movie ,"[0, 1]"
any awards ,"[0, 1]"
pleasing verisimilitude ,"[0, 1]"
"combines two surefire , beloved genres ","[0, 1]"
"( a ) thoughtful , visually graceful ","[0, 1]"
"a mostly magnificent directorial career , ","[0, 1]"
brow ,"[0, 1]"
", non-exploitive approach ","[0, 1]"
peak ,"[0, 1]"
an entertainment ,"[0, 1]"
"for a winning , heartwarming yarn ","[0, 1]"
"lush , all-enveloping movie experience ","[0, 1]"
that rare movie ,"[0, 1]"
often-hilarious ,"[0, 1]"
disney 's great past ,"[0, 1]"
so much fun ,"[0, 1]"
"tense , terrific , sweaty-palmed fun . ","[0, 1]"
this seductive tease of a thriller ,"[0, 1]"
expertly ,"[0, 1]"
brosnan 's finest non-bondish performance ,"[0, 1]"
spiritual journey ,"[0, 1]"
stylish psychological thriller ,"[0, 1]"
duvall 's throbbing sincerity ,"[0, 1]"
song-and-dance-man ,"[0, 1]"
touchingly ,"[0, 1]"
filling ,"[0, 1]"
the actors are fantastic . ,"[0, 1]"
best and most exciting ,"[0, 1]"
", and rousing ","[0, 1]"
please history fans ,"[0, 1]"
moving portrait ,"[0, 1]"
a lot of flavor and spice ,"[0, 1]"
very ambitious project ,"[0, 1]"
fluidity and sense ,"[0, 1]"
fabulously ,"[0, 1]"
cool ? ,"[0, 1]"
a giggle a minute . ,"[0, 1]"
people cinema at its finest . ,"[0, 1]"
slick piece of cross-promotion . ,"[0, 1]"
old-form moviemaking at its best . ,"[0, 1]"
ahhhh ... revenge is sweet ! ,"[0, 1]"
"a quiet , pure , elliptical film ","[0, 1]"
it 's a beautiful madness . ,"[0, 1]"
it 's fun lite . ,"[0, 1]"
one from the heart . ,"[0, 1]"
"a smart , witty follow-up . ","[0, 1]"
"a gorgeous , witty , seductive movie . ","[0, 1]"
a delightful coming-of-age story . ,"[0, 1]"
the film 's performances are thrilling . ,"[0, 1]"
good old-fashioned slash-and-hack is back ! ,"[0, 1]"
"a tender , heartfelt family drama . ","[0, 1]"
